cluster_spec,policy_name,seed,total_jobs,cost,utilization,average_completion_time,total_completion_time
v100=5.p100=5.k80=10,max_min_fairness,5,500,0.00,0.856,611338.605 seconds (169.82 hours),2477060.836 seconds (688.07 hours)
v100=5.p100=5.k80=10,max_min_fairness,5,875,0.00,0.940,1121358.574 seconds (311.49 hours),4286943.321 seconds (1190.82 hours)
v100=5.p100=5.k80=10,max_min_fairness,5,750,0.00,0.928,972703.452 seconds (270.20 hours),3797503.080 seconds (1054.86 hours)
v100=5.p100=5.k80=10,max_min_fairness,5,625,0.00,0.915,826384.656 seconds (229.55 hours),3256559.232 seconds (904.60 hours)
v100=5.p100=5.k80=10,max_min_fairness,9,1000,0.00,0.952,1243960.071 seconds (345.54 hours),4778191.959 seconds (1327.28 hours)
v100=5.p100=5.k80=10,max_min_fairness,9,500,0.00,0.915,681071.274 seconds (189.19 hours),2629586.534 seconds (730.44 hours)
v100=5.p100=5.k80=10,max_min_fairness,9,875,0.00,0.939,1045304.586 seconds (290.36 hours),4061772.694 seconds (1128.27 hours)
v100=5.p100=5.k80=10,max_min_fairness,9,750,0.00,0.927,925857.775 seconds (257.18 hours),3585245.901 seconds (995.90 hours)
v100=5.p100=5.k80=10,max_min_fairness,9,625,0.00,0.915,802497.133 seconds (222.92 hours),3104778.854 seconds (862.44 hours)
v100=5.p100=5.k80=10,max_min_fairness,8,1000,0.00,0.964,1382740.828 seconds (384.09 hours),5430395.933 seconds (1508.44 hours)
v100=5.p100=5.k80=10,max_min_fairness,8,500,0.00,0.870,665707.090 seconds (184.92 hours),2807765.805 seconds (779.93 hours)
v100=5.p100=5.k80=10,max_min_fairness,8,875,0.00,0.957,1176460.891 seconds (326.79 hours),4727261.560 seconds (1313.13 hours)
v100=5.p100=5.k80=10,max_min_fairness,8,750,0.00,0.948,1014354.276 seconds (281.77 hours),4090498.081 seconds (1136.25 hours)
v100=5.p100=5.k80=10,max_min_fairness,8,625,0.00,0.916,835878.422 seconds (232.19 hours),3404674.086 seconds (945.74 hours)
v100=5.p100=5.k80=10,fifo,5,1000,0.00,0.733,2299616.588 seconds (638.78 hours),7099477.947 seconds (1972.08 hours)
v100=5.p100=5.k80=10,fifo,5,500,0.00,0.585,973407.442 seconds (270.39 hours),4179280.042 seconds (1160.91 hours)
v100=5.p100=5.k80=10,fifo,5,875,0.00,0.857,1967738.850 seconds (546.59 hours),5129622.863 seconds (1424.90 hours)
v100=5.p100=5.k80=10,fifo,5,750,0.00,0.767,1637643.206 seconds (454.90 hours),5129441.522 seconds (1424.84 hours)
v100=5.p100=5.k80=10,fifo,5,625,0.00,0.717,1299723.148 seconds (361.03 hours),4812282.449 seconds (1336.75 hours)
v100=5.p100=5.k80=10,fifo,9,1000,0.00,0.249,3255853.744 seconds (904.40 hours),11664189.355 seconds (3240.05 hours)
v100=5.p100=5.k80=10,fifo,9,500,0.00,0.249,1734898.163 seconds (481.92 hours),6067484.943 seconds (1685.41 hours)
v100=5.p100=5.k80=10,fifo,9,875,0.00,0.249,2715119.458 seconds (754.20 hours),9768339.416 seconds (2713.43 hours)
v100=5.p100=5.k80=10,fifo,9,750,0.00,0.249,2399520.170 seconds (666.53 hours),8547167.435 seconds (2374.21 hours)
v100=5.p100=5.k80=10,fifo,9,625,0.00,0.249,2045328.405 seconds (568.15 hours),7217521.817 seconds (2004.87 hours)
v100=5.p100=5.k80=10,fifo,8,1000,0.00,0.249,3672653.400 seconds (1020.18 hours),13200793.341 seconds (3666.89 hours)
v100=5.p100=5.k80=10,fifo,8,500,0.00,0.248,1815099.494 seconds (504.19 hours),6559048.466 seconds (1821.96 hours)
v100=5.p100=5.k80=10,fifo,8,875,0.00,0.249,3115768.454 seconds (865.49 hours),11372955.041 seconds (3159.15 hours)
v100=5.p100=5.k80=10,fifo,8,750,0.00,0.249,2716438.651 seconds (754.57 hours),9842089.328 seconds (2733.91 hours)
v100=5.p100=5.k80=10,fifo,8,625,0.00,0.249,2241620.836 seconds (622.67 hours),8153952.829 seconds (2264.99 hours)
v100=5.p100=5.k80=10,finish_time_fairness,5,1000,0.00,0.914,1041701.825 seconds (289.36 hours),4268383.079 seconds (1185.66 hours)
